Precinct,YES,NO
002,0,0
003,0,0
004,0,0
005,0,0
006,0,0
007,0,0
010,0,0
031,0,0
032,0,0
033,0,0
040,0,0
051,0,0
052,0,0
053,0,0
055,0,0
070,0,0
071,0,0
072,0,0
073,0,0
074,0,0
099,0,0
100,0,0
101,0,0
102,0,0
103,0,0
104,0,0
105,0,0
131,0,0
132,0,0
133,0,0
134,0,0
135,0,0
151,0,0
153,0,0
154,0,0
155,0,0
156,0,0
157,0,0
159,0,0
160,0,0
201,0,0
202,0,0
203,0,0
204,0,0
251,0,0
252,0,0
280,0,0
281,0,0
282,0,0
283,0,0
284,0,0
320,0,0
321,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
510,0,0
511,0,0
512,0,0
515,0,0
519,0,0
TOTALS,57372,110361
