Precinct,TED WHEELER,SARAH IANNARONE,Write-in
2701,466,105,27
3101,763,427,113
3301,6653,4638,900
3303,2338,1001,203
3501,526,306,92
3502,2789,1499,361
3602,2652,2183,624
3603,3503,3192,746
3605,1594,587,151
3606,1007,631,135
3607,3498,1676,360
3608,2709,1754,372
3609,234,49,14
3610,2241,1004,216
3611,3113,1658,336
3612,2342,2015,455
3802,5153,2756,674
3803,3172,2035,508
3804,709,410,105
3805,444,285,50
3808,72,41,15
4101,4405,3444,1023
4102,2006,2079,558
4103,2456,876,266
4203,2851,5236,1827
4204,3381,3612,1209
4205,1685,1813,618
4207,1810,2235,783
4208,1237,1402,429
4209,2717,3582,1063
4210,3860,4628,1408
4301,3414,3889,1641
4302,3906,4540,1689
4304,3397,2785,1053
4305,3922,3798,1549
4306,812,675,262
4310,3480,3203,1245
4401,3282,4463,1428
4402,3802,4109,1460
4403,3080,3289,1226
4404,3762,3867,1298
4409,809,932,257
4501,5687,2848,1029
4502,1869,1768,590
4503,1982,1377,477
4505,3428,2827,847
4506,1379,1390,421
4508,1513,1921,556
4509,1134,983,398
4510,1116,764,267
4511,1007,958,366
4601,4524,3604,1177
4602,2225,1020,337
4604,2109,2485,834
4605,1946,2102,699
4606,3542,4929,1371
4607,1544,1333,431
4608,513,641,188
4701,1352,942,273
4702,338,277,125
4703,990,718,276
4704,1719,1171,394
4705,2116,2161,676
4706,1334,1211,438
4707,710,647,217
4708,1603,1383,531
4709,776,743,256
4710,1331,1339,522
4801,599,498,205
4803,2351,3379,980
4804,559,723,232
4805,317,343,112
4806,682,522,240
4807,1114,1179,426
4902,13,8,3
5009,439,369,169
5101,324,288,98
5102,1801,1781,706
5103,1079,935,440
5104,1628,1270,508
5106,126,103,36
