Precinct,Ballots,Reg_Voters,Total_Votes,Yes,Yes_Per,No,No_Per,Over_Votes,Under_Votes
302,2173,2769,1999,754,37.72%,1245,62.28%,0,174
303,676,909,619,214,34.57%,405,65.43%,0,57
304,2939,3696,2720,1023,37.61%,1697,62.39%,0,219
306,679,807,631,305,48.34%,326,51.66%,0,48
307,1746,2160,1578,582,36.88%,996,63.12%,0,168
309,3521,4186,3220,1396,43.35%,1824,56.65%,0,301
310,0,0,0,0,0.00%,0,0.00%,0,0
312,3,5,2,0,0.00%,2,100.00%,0,1
313,4,5,2,1,50.00%,1,50.00%,0,2
314,10,9,10,2,20.00%,8,80.00%,0,0
317,7,13,7,1,14.29%,6,85.71%,0,0
318,2881,3505,2623,969,36.94%,1654,63.06%,1,257
319,7013,8646,6418,2782,43.35%,3636,56.65%,0,595
320,2837,3527,2603,1073,41.22%,1530,58.78%,0,234
322,70,89,60,14,23.33%,46,76.67%,0,10
323,27,30,26,13,50.00%,13,50.00%,0,1
325,0,0,0,0,0.00%,0,0.00%,0,0
327,4526,5521,4115,1734,42.14%,2381,57.86%,0,411
328,6,9,6,0,0.00%,6,100.00%,0,0
329,8153,9681,7355,3208,43.62%,4147,56.38%,0,798
331,2713,3241,2431,1157,47.59%,1274,52.41%,0,282
332,2857,3714,2563,1343,52.40%,1220,47.60%,0,294
333,4382,5666,3862,2104,54.48%,1758,45.52%,0,520
335,3487,3981,3195,1059,33.15%,2136,66.85%,1,291
336,2891,3540,2634,969,36.79%,1665,63.21%,0,257
337,4049,5437,3632,1421,39.12%,2211,60.88%,0,417
338,4687,6352,4315,1653,38.31%,2662,61.69%,0,372
339,5308,7188,4831,1905,39.43%,2926,60.57%,0,477
340,7030,8253,6567,2266,34.51%,4301,65.49%,0,463
341,76,100,69,15,21.74%,54,78.26%,0,7
342,40,40,38,15,39.47%,23,60.53%,0,2
343,4553,5523,4157,1490,35.84%,2667,64.16%,0,396
344,4337,5706,3949,1629,41.25%,2320,58.75%,1,387
346,180,226,165,38,23.03%,127,76.97%,0,15
348,36,44,32,15,46.88%,17,53.12%,0,4
349,2656,3479,2428,1042,42.92%,1386,57.08%,2,226
350,3318,4234,2942,1316,44.73%,1626,55.27%,1,375
351,2832,3766,2570,1128,43.89%,1442,56.11%,1,261
352,1040,1427,918,527,57.41%,391,42.59%,0,122
353,2151,2535,2005,895,44.64%,1110,55.36%,0,146
354,3934,4532,3634,1508,41.50%,2126,58.50%,0,300
